symbol,date,1. open,2. high,3. low,4. close,5. volume
BKNG,2022-06-17,2006.45,2016.15,1832.295,1906.87,2807209
BKNG,2022-06-10,2366.44,2393.31,2096.53,2104.96,1515069
BKNG,2022-06-03,2243.32,2383.9,2195.04,2335.87,1552563
BKNG,2022-05-27,2157.39,2274.17,2019.345,2265.98,1602755
BKNG,2022-05-20,2086.11,2161.0,2033.61,2115.9,1875609
BKNG,2022-05-13,2105.35,2143.205,2001.93,2101.89,2363575
BKNG,2022-05-06,2207.0,2308.0,1997.244,2194.23,3771550
BKNG,2022-04-29,2192.07,2363.45,2158.95,2210.31,2279896
BKNG,2022-04-22,2210.0,2337.895,2173.0,2213.87,1621902
BKNG,2022-04-14,2150.0,2307.46,2144.95,2227.29,1261672
BKNG,2022-04-08,2375.67,2379.96,2166.38,2167.42,1666585
BKNG,2022-04-01,2260.77,2420.89,2220.7,2367.83,1685301
BKNG,2022-03-25,2204.5,2298.08,2142.0,2247.93,1460215
BKNG,2022-03-18,2010.2,2239.72,1985.75,2186.31,2538652
BKNG,2022-03-11,1970.26,2082.99,1796.45,2017.4,4072224
BKNG,2022-03-04,2241.8,2241.8,1963.71,1985.04,3430021
BKNG,2022-02-25,2588.46,2617.75,2138.72,2281.46,3091804
BKNG,2022-02-18,2521.57,2715.66,2514.14,2616.41,2073940
BKNG,2022-02-11,2467.4,2687.0,2454.16,2530.01,2642938
BKNG,2022-02-04,2405.78,2487.44,2373.125,2442.93,1888243
BKNG,2022-01-28,2317.32,2438.94,2218.67,2412.94,2111594
BKNG,2022-01-21,2424.14,2482.53,2339.31,2345.86,1755213
BKNG,2022-01-14,2433.74,2495.0,2362.41,2450.95,1421257
BKNG,2022-01-07,2423.0,2518.25,2396.605,2434.58,1503026
BKNG,2021-12-31,2389.67,2428.71,2365.05,2399.23,791898
BKNG,2021-12-23,2151.0,2422.4109,2107.54,2402.25,1405617
BKNG,2021-12-17,2202.03,2231.1999,2086.505,2210.46,2237331
BKNG,2021-12-10,2163.0,2324.505,2152.3825,2236.36,1902768
BKNG,2021-12-03,2206.4165,2227.88,2057.315,2114.44,2621522
BKNG,2021-11-26,2330.81,2366.03,2099.12,2155.56,1647120
BKNG,2021-11-19,2455.0,2464.0,2278.0,2339.99,2052313
BKNG,2021-11-12,2659.0,2687.29,2442.42,2451.65,1926882
BKNG,2021-11-05,2420.13,2631.68,2405.0,2618.97,2207855
BKNG,2021-10-29,2397.84,2465.0,2371.81,2420.78,879594
BKNG,2021-10-22,2520.35,2538.0,2368.735,2394.59,1265832
BKNG,2021-10-15,2480.49,2540.0,2436.27,2538.34,1060949
BKNG,2021-10-08,2455.87,2497.1895,2384.0,2474.37,1085957
BKNG,2021-10-01,2494.16,2540.0,2355.0,2455.87,1543267
BKNG,2021-09-24,2310.0,2502.49,2285.9,2491.35,1658765
BKNG,2021-09-17,2314.5,2387.77,2275.17,2325.37,1265681
BKNG,2021-09-10,2307.91,2356.0,2296.35,2304.8,969523
BKNG,2021-09-03,2300.0,2330.0,2270.42,2304.45,1386317
BKNG,2021-08-27,2072.06,2319.63,2070.15,2305.47,1826080
BKNG,2021-08-20,2193.17,2198.035,2058.43,2074.74,1694493
BKNG,2021-08-13,2182.97,2209.92,2130.4,2203.42,1210876
BKNG,2021-08-06,2191.68,2235.97,2079.17,2182.98,1810445
BKNG,2021-07-30,2203.88,2264.64,2170.025,2178.26,1422073
BKNG,2021-07-23,2101.71,2214.18,2053.575,2202.57,1505454
BKNG,2021-07-16,2182.06,2228.74,2139.7,2144.72,1368487
BKNG,2021-07-09,2233.76,2243.17,2126.28,2194.99,1171297
BKNG,2021-07-02,2249.75,2260.0,2165.9001,2238.89,2033424
BKNG,2021-06-25,2253.89,2299.38,2231.23,2281.66,1129131
BKNG,2021-06-18,2311.87,2332.9999,2230.52,2242.61,1300802
BKNG,2021-06-11,2319.83,2341.12,2282.87,2304.37,1260404
BKNG,2021-06-04,2380.0,2380.29,2262.0,2315.69,1065855
BKNG,2021-05-28,2301.72,2373.88,2300.2017,2361.55,1826087
BKNG,2021-05-21,2261.54,2336.3,2161.775,2293.38,1647984
BKNG,2021-05-14,2331.64,2333.0,2162.145,2282.48,1858986
BKNG,2021-05-07,2484.07,2486.99,2255.15,2327.08,1725565
BKNG,2021-04-30,2424.89,2516.0,2407.0,2466.08,1414756
BKNG,2021-04-23,2480.43,2488.32,2317.29,2395.43,1626861
BKNG,2021-04-16,2436.0,2489.41,2367.15,2476.9,3703523
BKNG,2021-04-09,2410.0,2454.72,2386.86,2450.06,1450796
BKNG,2021-04-01,2311.0,2389.725,2307.41,2382.46,1371119
BKNG,2021-03-26,2340.0,2340.0,2173.0,2323.53,2272827
BKNG,2021-03-19,2412.76,2469.58,2265.81,2287.74,2359455
BKNG,2021-03-12,2303.43,2447.465,2298.355,2401.04,2406934
BKNG,2021-03-05,2372.99,2382.3,2163.4,2307.1,1954233
BKNG,2021-02-26,2265.67,2450.26,2251.7082,2328.51,2875456
BKNG,2021-02-19,2139.19,2322.04,2133.71,2293.05,1198293
BKNG,2021-02-12,2117.05,2188.99,2051.64,2150.58,1249821
BKNG,2021-02-05,1996.19,2129.99,1965.0,2096.42,1862815
BKNG,2021-01-29,2044.86,2060.35,1860.73,1944.33,3412816
BKNG,2021-01-22,2135.0,2179.98,2065.0,2066.24,1431531
BKNG,2021-01-15,2252.43,2290.035,2116.0,2119.23,1432187
BKNG,2021-01-08,2250.0,2289.98,2121.21,2281.54,1685954
AVGO,2023-10-06,829.06,848.385,808.91,845.26,8243113
AVGO,2023-09-29,828.0,844.04,804.3801,830.58,8130262
AVGO,2023-09-22,842.58,856.33,795.09,829.08,12484119
AVGO,2023-09-15,868.77,876.67,841.66,851.68,11964115
AVGO,2023-09-08,869.51,883.0,840.52,857.55,8955873
AVGO,2023-09-01,856.39,923.67,847.11,872.52,18558260
AVGO,2023-08-25,834.06,909.855,831.77,851.82,12190016
AVGO,2023-08-18,831.13,854.62,812.0,825.84,8471382
AVGO,2023-08-11,887.68,897.37,823.48,829.76,9041643
AVGO,2023-08-04,897.5,920.62,873.3715,881.65,10101373
AVGO,2023-07-28,900.8,923.18,886.0,899.79,10062814
AVGO,2023-07-21,891.01,913.21,885.63,896.75,17801619
AVGO,2023-07-14,848.28,903.35,848.28,888.58,12874531
AVGO,2023-07-07,868.62,876.9,844.33,846.75,6684343
AVGO,2023-06-30,825.0,874.57,820.22,867.43,11227077
AVGO,2023-06-23,862.66,877.07,818.85,822.15,11165255
AVGO,2023-06-16,811.12,889.95,811.12,868.11,23572458
AVGO,2023-06-09,809.2,817.7489,776.38,804.62,13416645
AVGO,2023-06-02,835.12,921.7799,785.16,812.0,35035725
AVGO,2023-05-26,681.4,814.98,674.12,812.73,20866969
AVGO,2023-05-19,631.87,684.95,628.47,682.25,10307264
AVGO,2023-05-12,629.78,632.7,615.86,631.15,7647335
AVGO,2023-05-05,626.5,638.99,601.29,630.12,10776367
AVGO,2023-04-28,633.64,638.85,603.23,626.5,8753506
AVGO,2023-04-21,618.61,642.73,617.81,632.9,8409505
AVGO,2023-04-14,618.05,630.88,615.21,619.54,8076227
AVGO,2023-04-06,639.0,644.235,618.97,622.64,6051437
AVGO,2023-03-31,639.0,642.215,618.86,641.54,9716349
AVGO,2023-03-24,632.74,648.4999,628.5526,636.17,12104990
AVGO,2023-03-17,607.09,639.5699,606.88,630.97,18224466
AVGO,2023-03-10,635.0,644.05,612.82,614.83,11310871
AVGO,2023-03-03,585.87,635.73,582.18,632.76,13537863
AVGO,2023-02-24,590.0,593.09,572.1,577.75,8050655
AVGO,2023-02-17,595.0,608.94,592.45,595.59,8177187
AVGO,2023-02-10,593.34,617.01,589.63,593.25,9789545
AVGO,2023-02-03,583.0,613.14,579.76,597.62,11053768
AVGO,2023-01-27,572.0,600.56,569.78,590.99,9488863
AVGO,2023-01-20,574.9,587.56,559.11,570.78,7718274
AVGO,2023-01-13,592.3,601.675,549.99,579.0,14403796
AVGO,2023-01-06,565.0,591.0,550.79,588.43,8878659
AVGO,2022-12-30,551.55,562.6,542.45,559.13,6464191
AVGO,2022-12-23,554.02,561.91,540.915,552.43,12185800
AVGO,2022-12-16,544.75,585.65,542.24,555.91,18550533
AVGO,2022-12-09,537.77,552.64,516.05,544.72,11927142
AVGO,2022-12-02,525.24,552.42,514.83,540.8,12588186
AVGO,2022-11-25,512.94,541.48,511.11,529.91,5896386
AVGO,2022-11-18,515.39,532.57,503.14,515.16,10524599
AVGO,2022-11-11,466.77,519.0,461.57,518.09,12282435
AVGO,2022-11-04,466.85,480.45,441.36,465.3,10945211
AVGO,2022-10-28,452.73,474.34,451.11,472.9,11445623
AVGO,2022-10-21,439.55,450.66,428.14,449.73,10754618
AVGO,2022-10-14,460.0,460.1,415.0682,427.1,12734779
AVGO,2022-10-07,449.24,489.7,446.965,460.48,11292459
AVGO,2022-09-30,468.98,473.3,443.635,444.01,13201682
AVGO,2022-09-23,494.42,503.39,462.0,468.68,10889866
AVGO,2022-09-16,526.75,531.26,489.86,502.5,16948428
AVGO,2022-09-09,498.53,525.97,490.37,522.4,9072516
AVGO,2022-09-02,520.0,522.74,480.84,500.22,13963794
AVGO,2022-08-26,542.57,550.99,520.0,520.86,8247176
AVGO,2022-08-19,554.23,560.56,531.04,548.43,8851984
AVGO,2022-08-12,549.35,558.41,527.75,558.23,8599165
AVGO,2022-08-05,531.43,553.15,527.23,551.44,7443581
AVGO,2022-07-29,510.46,537.83,506.5317,535.48,9189711
AVGO,2022-07-22,500.16,519.79,488.19,512.52,10448948
AVGO,2022-07-15,489.49,494.74,472.2875,494.46,9898039
AVGO,2022-07-08,472.0,501.39,463.91,498.69,7772424
AVGO,2022-07-01,513.8,514.15,469.43,477.84,8352709
AVGO,2022-06-24,504.08,511.8,491.01,509.09,8453098
AVGO,2022-06-17,526.78,533.83,487.87,498.65,15588970
AVGO,2022-06-10,571.52,576.27,539.7219,541.27,9726849
AVGO,2022-06-03,584.5,590.94,560.98,563.32,9840531
AVGO,2022-05-27,524.0,585.455,514.26,583.28,17853221
AVGO,2022-05-20,584.38,609.0,512.44,543.19,14905645
AVGO,2022-05-13,572.88,591.59,558.26,588.24,13097510
